X,CashDesk,ApplicationEventHandlerIf,ApplicationEventHandlerImpl,CardReaderControllerEventHandlerIf,CardReaderControllerEventHandlerImpl,CardReader,CashBoxControllerEventHandlerIf,CashBoxControllerEventHandlerImpl,CashBox,GUIEventHandlerIf,GUIEventHandlerImpl,CashDeskGUI,LightDisplayControllerEventHandlerIf,LightDisplayControllerEventHandlerImpl,LightDisplayController,PrinterControllerEventHandlerIf,PrinterController,PrinterControllerEventHandlerImpl,ScannerControllerEventHandlerIf,ScannerController,ScannerControllerEventHandlerImpl,CoordinatorEventHandlerIf,Sale,Coordinator,CoordinatorEventHandlerImpl,CredidCardScanFailedEvent,InvalidCreditCardEvent,CashAmountEnteredEvent,CashBoxClosedEvent,CreditCardScannedEvent,SaleRegisteredEvent,PINEnteredEvent,SaleStartedEvent,CreditCardPaymentEnabledEvent,RunningTotalChangedEvent,AccountSaleEvent,CreditCardScanEvent,ExpressModeDisabledEvent,ProductBarcodeNotValidEvent,ChangeAmountCalculatedEvent,ProductBarcodeScanEnvent,ProductBarcodeScannedEvent,PaymentModeEvent,SaleSuccessEvent,SaleFinishedEvent,CreditCardScanFailedEvent,ExpressModeEnabledEvent,Bank,TransactionID,BankImpl,ApplicationFactory,OptimisationSolverIf,ProductDispatcherIf,AmplStarter,ProductDispatcher,StoreTO,ReportingIf,EnterpriseTO,ReportTO,ReportingImpl,CashDeskConnectorIf,NoSuchProductException,ProductNotAvailableException,ProductMovementTO,StoreWithEnterpriseTO,StoreIf,SupplierTO,OrderEntryTO,ComplexOrderEntryTO,ProductWithStockItemTO,SaleTO,ProductWithSupplierAndStockItemTO,OrderTO,ProductTO,ProductAmountTO,StockItemTO,ProductWithSupplierTO,ComplexOrderTO,StoreImpl,FillTransferObjects,RmiRegistry,DataIf,DataIfFactory,Product,TradingEnterprise,ProductSupplier,EnterpriseQueryIf,EnterpriseQueryImpl,DataImpl,PersistenceIf,PersistenceContext,TransactionContext,TransactionContextImpl,PersistenceImpl,PersistenceContextImpl,StoreQueryIf,StockItem,ProductOrder,OrderEntry,Store,StoreQueryImpl,StoreQueryImplTest,FillDB,MTDeliveryReport,Connector,Reporting,EnterpriseStockReport,StoreStockReport,ProductSupplierTableModel,StoreDescr,RefreshButton,ProductSupplierOrderTableModel,RolledInPanel,Refreshable,ProductOrderDisplay,OrderButton,Connector,ProductStockItemTableModel,ProductSupplierStockItemTableModel,Store
Available,0.49074074074074076,0.5666666666666667,0.5622222222222223,0.3627450980392157,0.3611111111111111,0.4333333333333333,0.42891278375149344,0.4276094276094276,0.5026455026455027,0.0,0.0,0.468013468013468,0.0,0.0,0.0,0.42891278375149344,0.44662309368191727,0.4276094276094276,0.42891278375149344,0.44662309368191727,0.4276094276094276,0.48444444444444446,0.5740740740740741,0.468013468013468,0.48148148148148145,0.43407407407407406,0.5276094276094276,0.4898989898989899,0.47222222222222215,0.4377104377104377,0.46832358674463936,0.4518518518518519,0.48148148148148145,0.43039591315453385,0.0,0.6083333333333333,0.442495126705653,0.38425925925925924,0.0,0.3703703703703704,0.0,0.0,0.4490740740740741,0.5069444444444444,0.47657952069716775,0.43407407407407406,0.38486312399355876,0.4537037037037037,0.0,0.5694444444444444,0.5249999999999999,0.4407407407407407,0.0,0.5674242424242424,0.0,0.0,0.4006734006734007,0.46296296296296297,0.0,0.0,0.442495126705653,0.0,0.0,0.3899782135076253,0.2724867724867725,0.0,0.4333333333333333,0.39814814814814814,0.442495126705653,0.0,0.5185185185185185,0.0,0.0,0.0,0.3925925925925926,0.468013468013468,0.0,0.45502645502645506,0.4444444444444444,0.5395711500974659,0.468013468013468,0.611111111111111,0.584045584045584,0.0,0.5032679738562091,0.0,0.44662309368191727,0.442495126705653,0.6481481481481481,0.4586894586894587,0.4444444444444444,0.0,0.0,0.4518518518518519,0.4377104377104377,0.39814814814814814,0.48148148148148145,0.39814814814814814,0.4037037037037037,0.0,0.3941798941798942,0.3888888888888889,0.0,0.0,0.40740740740740744,0.40740740740740744,0.43915343915343913,0.3912037037037037,0.0,0.4037037037037037,0.292022792022792,0.0,0.5133903133903134,0.436026936026936,0.38791423001949316,0.0,0.40740740740740744,0.0,0.0,0.0
Bank,0.4583333333333333,0.43,0.4290123456790123,0.4264705882352941,0.4259259259259259,0.45,0.4274193548387097,0.42676767676767674,0.46428571428571425,0.0,0.0,0.44696969696969696,0.0,0.0,0.0,0.4274193548387097,0.4362745098039216,0.42676767676767674,0.521505376344086,0.5392156862745098,0.5202020202020202,0.0,0.5,0.0,0.0,0.0,0.3636363636363636,0.4318181818181818,0.4351851851851852,0.0,0.43421052631578944,0.4388888888888889,0.4375,0.0,0.4305555555555556,0.0,0.0,0.0,0.0,0.5246913580246914,0.0,0.0,0.0,0.4375,0.4362745098039216,0.0,0.0,1.0,0.5512820512820512,0.9,0.4351851851851852,0.0,0.0,0.44696969696969696,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.43421052631578944,0.4318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47222222222222215,0.0,0.0,0.0,0.0,0.44696969696969696,0.0,0.0,0.0,0.0,0.0,0.47222222222222215,0.4423076923076923,0.0,0.0,0.0,0.4362745098039216,0.43421052631578944,0.4583333333333333,0.0,0.0,0.5370370370370371,0.5303030303030303,0.0,0.0,0.0,0.4537037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4537037037037037,0.0,0.43253968253968256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4537037037037037,0.0,0.0,0.0
BarCode,0.6071428571428571,0.4552380952380952,0.4532627865961199,0.553781512605042,0.5510582010582011,0.6714285714285714,0.0,0.0,0.0,0.4005602240896358,0.3984962406015038,0.5616883116883117,0.39021164021164023,0.38972431077694236,0.39610389610389607,0.0,0.0,0.0,0.0,0.0,0.0,0.49380952380952375,0.0,0.5616883116883117,0.4898589065255732,0.0,0.0,0.0,0.0,0.0,0.4177109440267335,0.0,0.4702380952380952,0.0,0.0,0.0,0.0,0.0,0.4898589065255732,0.0,0.49603174603174605,0.4917582417582418,0.0,0.4275793650793651,0.4677871148459383,0.0,0.0,0.6761904761904762,0.442002442002442,0.6095238095238095,0.4656084656084656,0.0,0.5106516290726817,0.48917748917748916,0.5189075630252101,0.5079365079365079,0.48917748917748916,0.31746031746031744,0.5119047619047619,0.47985347985347987,0.5106516290726817,0.0,0.4880952380952381,0.0,0.41269841269841273,0.5079365079365079,0.4142857142857143,0.0,0.0,0.5010822510822511,0.5317460317460317,0.4808802308802309,0.6309523809523809,0.5886243386243386,0.5293650793650794,0.45598845598845594,0.503968253968254,0.0,0.4761904761904761,0.0,0.48917748917748916,0.4365079365079365,0.40659340659340665,0.6309523809523809,0.5189075630252101,0.5293650793650794,0.3011204481792717,0.29699248120300753,0.4226190476190476,0.47985347985347987,0.4656084656084656,0.42063492063492064,0.41053391053391053,0.47301587301587295,0.4588744588744589,0.44841269841269843,0.4761904761904761,0.0,0.0,0.565079365079365,0.43650793650793646,0.42063492063492064,0.4365079365079365,0.4702380952380952,0.5873015873015873,0.5026455026455027,0.29365079365079366,0.4275793650793651,0.49380952380952375,0.4904761904761905,0.47985347985347987,0.4849206349206349,0.543040293040293,0.48917748917748916,0.0,0.0,0.5873015873015873,0.4917582417582418,0.4796918767507003,0.565079365079365
Box,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4577777777777778,0.0,0.47474747474747475,0.4567901234567901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.4567901234567901,0.0,0.4583333333333333,0.45726495726495725,0.0,0.0,0.0,0.0,0.45893719806763283,0.575,0.0,0.5375,0.0,0.4611111111111111,0.4619883040935672,0.0,0.4640522875816993,0.4920634920634921,0.0,0.0,0.0,0.0,0.0,0.4595959595959596,0.45634920634920634,0.4640522875816993,0.4603174603174603,0.4920634920634921,0.0,0.47222222222222215,0.4619883040935672,0.4595959595959596,0.0,0.4545454545454546,0.4920634920634921,0.48148148148148145,0.4666666666666666,0.47474747474747475,0.4603174603174603,0.4682539682539682,0.48148148148148145,0.0,0.0,0.0,0.0,0.4920634920634921,0.0,0.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47222222222222215,0.48148148148148145,0.47222222222222215,0.4777777777777778,0.5111111111111111,0.4682539682539682,0.46296296296296297,0.0,0.0,0.48148148148148145,0.0,0.0,0.46527777777777773,0.4577777777777778,0.4777777777777778,0.0,0.45555555555555555,0.47008547008547,0.0,0.4619883040935672,0.47474747474747475,0.48148148148148145,0.45726495726495725,0.4542483660130719,0.5111111111111111
Card,0.7666666666666667,0.43,0.4290123456790123,0.823529411764706,0.8222222222222222,0.88,0.6172043010752688,0.6161616161616161,0.6761904761904762,0.0,0.0,0.7393939393939394,0.4259259259259259,0.425438596491228,0.4318181818181818,0.4274193548387097,0.4362745098039216,0.42676767676767674,0.521505376344086,0.5392156862745098,0.5202020202020202,0.661,0.5,0.7068181818181818,0.6583333333333333,0.661,0.0,0.6242424242424243,0.6296296296296297,0.6659090909090909,0.5350877192982456,0.0,0.4375,0.6560344827586206,0.4305555555555556,0.375,0.6723684210526315,0.4305555555555556,0.5246913580246914,0.5722222222222222,0.5277777777777778,0.5256410256410257,0.4375,0.4375,0.4362745098039216,0.661,0.43115942028985504,0.5,0.3846153846153846,0.4583333333333333,0.4351851851851852,0.0,0.5350877192982456,0.44696969696969696,0.5392156862745098,0.46428571428571425,0.44696969696969696,0.4444444444444444,0.4583333333333333,0.4423076923076923,0.7087719298245614,0.0,0.5238095238095238,0.5392156862745098,0.43253968253968256,0.46428571428571425,0.0,0.5555555555555555,0.4907894736842105,0.5303030303030303,0.47222222222222215,0.5202020202020202,0.5952380952380952,0.5740740740740741,0.5444444444444444,0.0,0.5317460317460317,0.49642857142857144,0.4537037037037037,0.0,0.44696969696969696,0.0,0.0,0.5952380952380952,0.5310457516339869,0.5444444444444444,0.4362745098039216,0.43421052631578944,0.0,0.4423076923076923,0.4351851851851852,0.3703703703703704,0.3636363636363636,0.4388888888888889,0.4318181818181818,0.4444444444444444,0.0,0.5555555555555555,0.5666666666666667,0.48333333333333334,0.44047619047619047,0.4351851851851852,0.47222222222222215,0.4375,0.5083333333333333,0.4537037037037037,0.43253968253968256,0.4375,0.5266666666666667,0.5666666666666667,0.4423076923076923,0.5222222222222223,0.5512820512820512,0.44696969696969696,0.5350877192982456,0.5606060606060607,0.5083333333333333,0.5256410256410257,0.5196078431372549,0.48333333333333334
CardReader,0.7066666666666667,0.0,0.0,0.8588235294117647,0.8555555555555555,1.0,0.5724731182795699,0.5709090909090909,0.5961904761904762,0.5313725490196078,0.5210526315789473,0.6703030303030303,0.4185185185185185,0.4175438596491228,0.43030303030303035,0.42634408602150536,0.4617647058823529,0.42373737373737375,0.4870967741935484,0.5313725490196078,0.4838383838383839,0.1,0.5666666666666667,0.6863636363636363,0.1,0.1,0.0,0.654949494949495,0.2,0.1,0.0,0.47222222222222227,0.5472222222222222,0.1,0.42777777777777776,0.4708333333333334,0.1,0.0,0.5578483245149912,0.5644444444444444,0.5686507936507937,0.5611721611721611,0.5499999999999999,0.0,0.4617647058823529,0.1,0.35797101449275365,0.45,0.0,0.4083333333333334,0.37777777777777777,0.3833333333333333,0.4543859649122807,0.5848484848484848,0.46470588235294114,0.49523809523809526,0.41313131313131307,0.41111111111111115,0.44722222222222224,0.3991452991452991,0.6701754385964912,0.5272727272727272,0.430952380952381,0.5313725490196078,0.5301587301587302,0.49523809523809526,0.3,0.6444444444444445,0.6247368421052631,0.36767676767676766,0.5111111111111111,0.3525252525252525,0.5738095238095239,0.0,0.47222222222222227,0.46060606060606063,0.36984126984126986,0.6585714285714286,0.4740740740740741,0.4535087719298246,0.5878787878787879,0.48888888888888893,0.48589743589743595,0.49523809523809526,0.5954248366013072,0.5444444444444444,0.46470588235294114,0.4543859649122807,0.44722222222222224,0.3991452991452991,0.37777777777777777,0.0,0.0,0.38888888888888884,0.36767676767676766,0.49444444444444446,0.4740740740740741,0.6658730158730158,0.6777777777777777,0.5333333333333333,0.4785714285714286,0.45740740740740743,0.4222222222222222,0.0,0.49,0.4333333333333333,0.0,0.0,0.5,0.6,0.48589743589743595,0.48888888888888893,0.5615384615384615,0.5181818181818182,0.5942355889724311,0.5045454545454545,0.49,0.0,0.48235294117647065,0.5333333333333333
Cash,0.9,0.43,0.4290123456790123,0.615686274509804,0.6148148148148148,0.6533333333333333,0.8258064516129032,0.8242424242424242,0.9142857142857143,0.0,0.0,0.8727272727272728,0.4259259259259259,0.425438596491228,0.4318181818181818,0.0,0.0,0.0,0.5044802867383512,0.5310457516339869,0.5025252525252525,0.487,0.5,0.5022727272727272,0.4861111111111111,0.487,0.4318181818181818,0.8363636363636363,0.8444444444444446,0.48863636363636365,0.3684210526315789,0.0,0.375,0.4853448275862069,0.0,0.375,0.4907894736842105,0.0,0.0,0.5583333333333332,0.0,0.0,0.4375,0.375,0.37254901960784315,0.487,0.0,0.5,0.5512820512820512,0.4583333333333333,0.4351851851851852,0.0,0.0,0.5606060606060607,0.0,0.46428571428571425,0.0,0.0,0.0,0.0,0.8421052631578947,0.5303030303030303,0.0,0.0,0.43253968253968256,0.46428571428571425,0.45,0.0,0.4907894736842105,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.49642857142857144,0.4537037037037037,0.0,0.0,0.47222222222222215,0.4423076923076923,0.0,0.4362745098039216,0.0,0.0,0.0,0.4583333333333333,0.4423076923076923,0.4351851851851852,0.5370370370370371,0.5303030303030303,0.4388888888888889,0.4318181818181818,0.4444444444444444,0.0,0.0,0.0,0.48333333333333334,0.44047619047619047,0.4351851851851852,0.0,0.0,0.5083333333333333,0.0,0.0,0.4375,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.5083333333333333,0.0,0.0,0.48333333333333334
CashBox,0.8142857142857143,0.0,0.0,0.5585434173669468,0.5576719576719578,0.5961904761904762,0.8451612903225806,0.8424242424242424,1.0,0.0,0.0,0.7870129870129869,0.39021164021164023,0.38972431077694236,0.39610389610389607,0.39170506912442393,0.4005602240896358,0.39105339105339104,0.4834869431643625,0.5189075630252101,0.4808802308802309,0.5097142857142857,0.42857142857142855,0.5402597402597402,0.5079365079365079,0.45485714285714285,0.39610389610389607,0.7883116883116883,0.8777777777777778,0.45649350649350645,0.29699248120300753,0.0,0.30357142857142855,0.45320197044334976,0.3948412698412698,0.4275793650793651,0.4586466165413534,0.45634920634920634,0.2865961199294533,0.5408730158730158,0.2896825396825397,0.2875457875457876,0.4702380952380952,0.30357142857142855,0.3011204481792717,0.45485714285714285,0.4575569358178054,0.46428571428571425,0.0,0.0,0.0,0.0,0.3984962406015038,0.48917748917748916,0.4005602240896358,0.5238095238095238,0.41125541125541126,0.0,0.4226190476190476,0.40659340659340665,0.4,0.0,0.39285714285714285,0.4005602240896358,0.4603174603174603,0.5238095238095238,0.0,0.0,0.4759398496240601,0.39610389610389607,0.5317460317460317,0.39105339105339104,0.42857142857142855,0.41798941798941797,0.40317460317460313,0.45598845598845594,0.3968253968253968,0.4928571428571428,0.5026455026455027,0.0,0.0,0.4365079365079365,0.40659340659340665,0.42857142857142855,0.4005602240896358,0.40317460317460313,0.0,0.0,0.4226190476190476,0.40659340659340665,0.3994708994708995,0.0,0.0,0.40317460317460313,0.39610389610389607,0.48412698412698413,0.4761904761904761,0.4087301587301588,0.0,0.0,0.4761904761904762,0.4656084656084656,0.4365079365079365,0.0,0.5523809523809524,0.41798941798941797,0.0,0.4702380952380952,0.3942857142857143,0.49523809523809526,0.553113553113553,0.39206349206349206,0.0,0.0,0.3984962406015038,0.0,0.5523809523809524,0.39377289377289376,0.3907563025210084,0.0
CashDesk,1.0,0.0,0.0,0.6313725490196078,0.6296296296296297,0.7066666666666667,0.7258064516129032,0.7242424242424242,0.8142857142857143,0.0,0.0,0.9454545454545455,0.4861111111111111,0.48464912280701755,0.5037878787878788,0.385752688172043,0.3946078431372549,0.3851010101010101,0.4596774193548387,0.4950980392156863,0.457070707070707,0.499,0.5972222222222222,0.5295454545454545,0.4972222222222222,0.523,0.5037878787878788,0.4,0.7805555555555556,0.5295454545454545,0.4868421052631579,0.0,0.5,0.4435344827586206,0.0,0.0,0.5381578947368422,0.0,0.0,0.5194444444444445,0.0,0.0,0.0,0.5,0.4950980392156863,0.523,0.0,0.4583333333333333,0.4679487179487179,0.5,0.0,0.39166666666666666,0.0,0.5492424242424242,0.0,0.5119047619047619,0.4053030303030303,0.47222222222222215,0.4166666666666667,0.4006410256410256,0.8842105263157894,0.0,0.0,0.0,0.0,0.5119047619047619,0.48333333333333334,0.47222222222222215,0.1,0.0,0.5138888888888888,0.0,0.5119047619047619,0.0,0.0,0.4545454545454546,0.0,0.1,0.49074074074074076,0.0,0.4772727272727273,0.0,0.30128205128205127,0.4226190476190476,0.5171568627450981,0.0,0.45588235294117646,0.45175438596491224,0.3333333333333333,0.42414529914529914,0.40277777777777773,0.4537037037037037,0.44696969696969696,0.4138888888888889,0.3926767676767677,0.47222222222222215,0.48148148148148145,0.0,0.48333333333333334,0.5499999999999999,0.46428571428571425,0.4537037037037037,0.4305555555555555,0.4583333333333333,0.5416666666666667,0.41203703703703703,0.44841269841269843,0.5833333333333334,0.0,0.5499999999999999,0.42414529914529914,0.0,0.30128205128205127,0.43813131313131315,0.0,0.4772727272727273,0.5416666666666667,0.0,0.0,0.5499999999999999
Cashier,0.8678571428571429,0.4552380952380952,0.4532627865961199,0.5837535014005603,0.582010582010582,0.6590476190476191,0.7400921658986175,0.7385281385281386,0.8285714285714286,0.4677871148459383,0.46365914786967416,0.8337662337662337,0.2804232804232804,0.2794486215538847,0.2922077922077922,0.5084485407066052,0.5350140056022409,0.5064935064935064,0.5585253456221199,0.6028011204481792,0.5552669552669552,0.4645714285714285,0.6150793650793651,0.5103896103896104,0.4619047619047619,0.5444285714285714,0.0,0.7506493506493507,0.7587301587301587,0.550974025974026,0.5258145363408522,0.5428571428571428,0.5238095238095238,0.537807881773399,0.3948412698412698,0.30357142857142855,0.5595864661654135,0.4067460317460318,0.39329805996472667,0.5408730158730158,0.3948412698412698,0.39377289377289376,0.4702380952380952,0.4275793650793651,0.43557422969187676,0.5444285714285714,0.40855762594893025,0.46428571428571425,0.0,0.5119047619047619,0.4656084656084656,0.0,0.0,0.0,0.0,0.5079365079365079,0.0,0.44841269841269843,0.0,0.0,0.7954887218045112,0.0,0.0,0.0,0.503968253968254,0.6309523809523809,0.6571428571428571,0.48412698412698413,0.5759398496240601,0.0,0.5317460317460317,0.0,0.5238095238095238,0.0,0.0,0.5616883116883117,0.0,0.5928571428571427,0.5886243386243386,0.46365914786967416,0.45598845598845594,0.5396825396825397,0.47985347985347987,0.0,0.5350140056022409,0.0,0.4239028944911298,0.4177109440267335,0.5119047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.44841269841269843,0.5886243386243386,0.4087301587301588,0.49523809523809526,0.0,0.43650793650793646,0.42063492063492064,0.4365079365079365,0.4275793650793651,0.6285714285714286,0.0,0.41269841269841273,0.4275793650793651,0.0,0.46507936507936504,0.4597069597069597,0.0,0.3131868131868132,0.4783549783549783,0.3984962406015038,0.48917748917748916,0.6285714285714286,0.0,0.0,0.0
